ds,y
2022-01-22,288
2022-01-23,146
2022-01-24,447
2022-01-25,417
2022-01-26,424
2022-01-27,375
2022-01-28,238
2022-01-29,194
2022-01-30,177
2022-01-31,88
2022-02-01,61
2022-02-02,77
2022-02-03,205
2022-02-04,191
2022-02-05,177
2022-02-06,221
2022-02-07,429
2022-02-08,460
2022-02-09,463
2022-02-10,484
2022-02-11,414
2022-02-12,276
2022-02-13,168
2022-02-14,474
2022-02-15,517
2022-02-16,461
2022-02-17,442
2022-02-18,365
2022-02-19,210
2022-02-20,178
2022-02-21,458
2022-02-22,461
2022-02-23,407
2022-02-24,462
2022-02-25,411
2022-02-26,264
2022-02-27,202
2022-02-28,470
2022-03-01,532
2022-03-02,481
2022-03-03,532
2022-03-04,475
2022-03-05,284
2022-03-06,192
2022-03-07,520
2022-03-08,565
2022-03-09,528
2022-03-10,574
2022-03-11,496
2022-03-12,277
2022-03-13,194
2022-03-14,522
2022-03-15,544
2022-03-16,713
2022-03-17,533
2022-03-18,445
2022-03-19,231
2022-03-20,298
2022-03-21,592
2022-03-22,570
2022-03-23,525
2022-03-24,493
2022-03-25,396
2022-03-26,256
2022-03-27,294
2022-03-28,622
2022-03-29,550
2022-03-30,520
2022-03-31,224
2022-04-01,218
2022-04-02,218
2022-04-03,145
2022-04-04,182
2022-04-05,283
2022-04-06,481
2022-04-07,444
2022-04-08,414
2022-04-09,230
2022-04-10,269
2022-04-11,611
2022-04-12,563
2022-04-13,433
2022-04-14,406
2022-04-15,333
2022-04-16,235
2022-04-17,170
2022-04-18,509
2022-04-19,484
2022-04-20,468
2022-04-21,459
2022-04-22,405
2022-04-23,182
2022-04-24,371
2022-04-25,422
2022-04-26,484
2022-04-27,419
2022-04-28,413
2022-04-29,318
2022-04-30,172
2022-05-01,230
2022-05-02,246
2022-05-03,280
2022-05-04,227
2022-05-05,488
2022-05-06,433
2022-05-07,367
2022-05-08,195
2022-05-09,517
2022-05-10,509
2022-05-11,505
2022-05-12,463
2022-05-13,398
2022-05-14,226
2022-05-15,220
2022-05-16,518
2022-05-17,524
2022-05-18,509
2022-05-19,457
2022-05-20,429
2022-05-21,229
2022-05-22,181
2022-05-23,487
2022-05-24,516
