ds,y
2022-01-22,310
2022-01-23,149
2022-01-24,550
2022-01-25,557
2022-01-26,539
2022-01-27,501
2022-01-28,326
2022-01-29,245
2022-01-30,234
2022-01-31,92
2022-02-01,64
2022-02-02,79
2022-02-03,223
2022-02-04,195
2022-02-05,179
2022-02-06,253
2022-02-07,491
2022-02-08,556
2022-02-09,556
2022-02-10,617
2022-02-11,513
2022-02-12,293
2022-02-13,170
2022-02-14,573
2022-02-15,655
2022-02-16,558
2022-02-17,585
2022-02-18,437
2022-02-19,226
2022-02-20,181
2022-02-21,521
2022-02-22,546
2022-02-23,507
2022-02-24,585
2022-02-25,515
2022-02-26,289
2022-02-27,203
2022-02-28,567
2022-03-01,657
2022-03-02,591
2022-03-03,655
2022-03-04,598
2022-03-05,306
2022-03-06,193
2022-03-07,612
2022-03-08,719
2022-03-09,674
2022-03-10,710
2022-03-11,629
2022-03-12,291
2022-03-13,195
2022-03-14,627
2022-03-15,671
2022-03-16,839
2022-03-17,673
2022-03-18,607
2022-03-19,255
2022-03-20,300
2022-03-21,694
2022-03-22,736
2022-03-23,658
2022-03-24,619
2022-03-25,533
2022-03-26,281
2022-03-27,294
2022-03-28,724
2022-03-29,654
2022-03-30,622
2022-03-31,285
2022-04-01,286
2022-04-02,270
2022-04-03,149
2022-04-04,184
2022-04-05,326
2022-04-06,543
2022-04-07,514
2022-04-08,490
2022-04-09,249
2022-04-10,272
2022-04-11,732
2022-04-12,703
2022-04-13,540
2022-04-14,518
2022-04-15,464
2022-04-16,260
2022-04-17,171
2022-04-18,572
2022-04-19,651
2022-04-20,581
2022-04-21,641
2022-04-22,542
2022-04-23,229
2022-04-24,466
2022-04-25,530
2022-04-26,612
2022-04-27,544
2022-04-28,555
2022-04-29,429
2022-04-30,174
2022-05-01,253
2022-05-02,248
2022-05-03,312
2022-05-04,232
2022-05-05,586
2022-05-06,587
2022-05-07,516
2022-05-08,212
2022-05-09,616
2022-05-10,598
2022-05-11,624
2022-05-12,560
2022-05-13,517
2022-05-14,331
2022-05-15,314
2022-05-16,643
2022-05-17,715
2022-05-18,668
2022-05-19,626
2022-05-20,581
2022-05-21,394
2022-05-22,247
2022-05-23,635
2022-05-24,690
2022-05-25,648
2022-05-26,687
2022-05-27,686
2022-05-28,428
2022-05-29,327
2022-05-30,618
2022-05-31,631
2022-06-01,619
2022-06-02,585
2022-06-03,274
2022-06-04,254
2022-06-05,166
2022-06-06,666
2022-06-07,793
2022-06-08,693
2022-06-09,675
2022-06-10,614
2022-06-11,377
2022-06-12,204
2022-06-13,696
2022-06-14,760
2022-06-15,702
2022-06-16,677
2022-06-17,572
2022-06-18,277
2022-06-19,340
2022-06-20,663
2022-06-21,754
2022-06-22,677
2022-06-23,649
2022-06-24,562
2022-06-25,320
2022-06-26,301
2022-06-27,739
2022-06-28,714
2022-06-29,700
2022-06-30,558
2022-07-01,516
2022-07-02,381
2022-07-03,269
2022-07-04,481
2022-07-05,446
2022-07-06,381
2022-07-07,409
2022-07-08,359
2022-07-09,213
2022-07-10,118
2022-07-11,416
2022-07-12,470
2022-07-13,402
2022-07-14,513
2022-07-15,461
2022-07-16,398
2022-07-17,249
2022-07-18,591
2022-07-19,664
2022-07-20,607
2022-07-21,589
2022-07-22,611
2022-07-23,479
2022-07-24,300
2022-07-25,656
2022-07-26,644
2022-07-27,623
2022-07-28,610
2022-07-29,551
2022-07-30,421
2022-07-31,372
2022-08-01,668
2022-08-02,688
2022-08-03,646
2022-08-04,624
2022-08-05,604
2022-08-06,423
2022-08-07,269
2022-08-08,648
2022-08-09,744
2022-08-10,707
2022-08-11,639
2022-08-12,550
2022-08-13,336
2022-08-14,314
2022-08-15,692
2022-08-16,707
2022-08-17,687
2022-08-18,685
2022-08-19,570
2022-08-20,428
2022-08-21,254
2022-08-22,606
2022-08-23,655
2022-08-24,644
2022-08-25,635
2022-08-26,571
2022-08-27,414
2022-08-28,285
2022-08-29,656
2022-08-30,701
2022-08-31,614
2022-09-01,648
2022-09-02,657
2022-09-03,369
2022-09-04,256
2022-09-05,708
2022-09-06,727
2022-09-07,632
2022-09-08,655
2022-09-09,552
2022-09-10,267
2022-09-11,179
2022-09-12,331
2022-09-13,700
2022-09-14,729
2022-09-15,694
2022-09-16,669
2022-09-17,370
2022-09-18,321
2022-09-19,698
2022-09-20,781
2022-09-21,713
2022-09-22,744
2022-09-23,645
2022-09-24,443
2022-09-25,327
2022-09-26,849
2022-09-27,835
2022-09-28,761
2022-09-29,636
2022-09-30,592
2022-10-01,210
2022-10-02,253
2022-10-03,282
2022-10-04,338
2022-10-05,311
2022-10-06,366
2022-10-07,243
2022-10-08,669
2022-10-09,634
2022-10-10,726
2022-10-11,715
2022-10-12,763
2022-10-13,684
2022-10-14,689
2022-10-15,401
2022-10-16,261
2022-10-17,808
2022-10-18,828
2022-10-19,774
2022-10-20,779
2022-10-21,667
2022-10-22,395
2022-10-23,256
2022-10-24,848
2022-10-25,781
2022-10-26,750
2022-10-27,700
2022-10-28,633
2022-10-29,343
2022-10-30,230
2022-10-31,755
2022-11-01,821
2022-11-02,804
2022-11-03,756
2022-11-04,718
2022-11-05,244
2022-11-06,228
2022-11-07,737
2022-11-08,796
2022-11-09,817
2022-11-10,745
2022-11-11,725
2022-11-12,319
2022-11-13,193
2022-11-14,776
2022-11-15,789
2022-11-16,694
2022-11-17,661
2022-11-18,671
2022-11-19,316
2022-11-20,275
2022-11-21,762
2022-11-22,771
2022-11-23,735
2022-11-24,702
2022-11-25,630
2022-11-26,367
2022-11-27,319
2022-11-28,828
2022-11-29,693
2022-11-30,635
2022-12-01,603
2022-12-02,601
2022-12-03,306
2022-12-04,140
2022-12-05,712
2022-12-06,775
2022-12-07,664
2022-12-08,629
2022-12-09,550
2022-12-10,281
2022-12-11,193
2022-12-12,731
2022-12-13,784
2022-12-14,615
2022-12-15,547
2022-12-16,446
2022-12-17,116
2022-12-18,126
2022-12-19,484
2022-12-20,405
2022-12-21,362
2022-12-22,348
2022-12-23,391
2022-12-24,392
2022-12-25,495
2022-12-26,912
2022-12-27,987
2022-12-28,1074
2022-12-29,1088
2022-12-30,1108
2022-12-31,875
2023-01-01,884
2023-01-02,1021
2023-01-03,1239
2023-01-04,1167
2023-01-05,1292
2023-01-06,1256
2023-01-07,822
2023-01-08,834
2023-01-09,1270
2023-01-10,1244
2023-01-11,1172
2023-01-12,1142
2023-01-13,961
2023-01-14,605
2023-01-15,417
2023-01-16,948
2023-01-17,900
2023-01-18,866
2023-01-19,708
2023-01-20,505
2023-01-21,188
2023-01-22,90
2023-01-23,252
2023-01-24,244
2023-01-25,338
2023-01-26,315
