ds,y
2022-01-13,1198
2022-01-14,1013
2022-01-15,463
2022-01-16,263
2022-01-17,1009
2022-01-18,1224
2022-01-19,1164
2022-01-20,1127
2022-01-21,992
2022-01-22,517
2022-01-23,220
2022-01-24,962
2022-01-25,1037
2022-01-26,892
2022-01-27,978
2022-01-28,481
2022-01-29,356
2022-01-30,306
2022-01-31,137
2022-02-01,103
2022-02-02,146
2022-02-03,325
2022-02-04,261
2022-02-05,250
2022-02-06,417
2022-02-07,837
2022-02-08,1108
2022-02-09,1117
2022-02-10,1318
2022-02-11,945
2022-02-12,512
2022-02-13,243
2022-02-14,1096
2022-02-15,1289
2022-02-16,1118
2022-02-17,1131
2022-02-18,1008
2022-02-19,410
2022-02-20,242
2022-02-21,1027
2022-02-22,1195
2022-02-23,1089
2022-02-24,1336
2022-02-25,1084
2022-02-26,470
2022-02-27,292
2022-02-28,965
2022-03-01,1335
2022-03-02,1159
2022-03-03,1396
2022-03-04,1263
2022-03-05,495
2022-03-06,255
2022-03-07,1128
2022-03-08,1475
2022-03-09,1232
2022-03-10,1386
2022-03-11,1351
2022-03-12,505
2022-03-13,284
2022-03-14,1151
2022-03-15,1339
2022-03-16,1319
2022-03-17,1286
2022-03-18,1182
2022-03-19,398
2022-03-20,378
2022-03-21,1147
2022-03-22,1253
2022-03-23,1111
2022-03-24,1081
2022-03-25,888
2022-03-26,430
2022-03-27,349
2022-03-28,1213
2022-03-29,1170
2022-03-30,1114
2022-03-31,693
2022-04-01,667
2022-04-02,572
2022-04-03,205
2022-04-04,237
2022-04-05,549
2022-04-06,936
2022-04-07,967
2022-04-08,994
2022-04-09,406
2022-04-10,362
2022-04-11,1201
2022-04-12,1088
2022-04-13,978
2022-04-14,933
2022-04-15,871
2022-04-16,428
2022-04-17,226
2022-04-18,1045
2022-04-19,1278
2022-04-20,986
2022-04-21,1250
2022-04-22,954
2022-04-23,279
2022-04-24,888
2022-04-25,949
2022-04-26,1312
2022-04-27,983
2022-04-28,1117
2022-04-29,783
2022-04-30,251
2022-05-01,419
2022-05-02,338
2022-05-03,534
2022-05-04,336
2022-05-05,1171
2022-05-06,1101
2022-05-07,901
2022-05-08,309
