ds,y
2022-01-30,28
2022-01-31,4
2022-02-01,3
2022-02-02,2
2022-02-03,18
2022-02-04,4
2022-02-05,2
2022-02-06,32
2022-02-07,39
2022-02-08,59
2022-02-09,56
2022-02-10,80
2022-02-11,69
2022-02-12,17
2022-02-13,2
2022-02-14,45
2022-02-15,76
2022-02-16,61
2022-02-17,81
2022-02-18,50
2022-02-19,16
2022-02-20,3
2022-02-21,46
2022-02-22,74
2022-02-23,78
2022-02-24,96
2022-02-25,73
2022-02-26,25
2022-02-27,1
2022-02-28,55
2022-03-01,84
2022-03-02,67
2022-03-03,90
2022-03-04,81
2022-03-05,22
2022-03-06,1
2022-03-07,52
2022-03-08,86
2022-03-09,62
2022-03-10,71
2022-03-11,69
2022-03-12,14
2022-03-13,1
2022-03-14,54
2022-03-15,79
2022-03-16,70
2022-03-17,86
2022-03-18,92
2022-03-19,24
2022-03-20,2
2022-03-21,54
2022-03-22,97
2022-03-23,70
2022-03-24,74
2022-03-25,69
2022-03-26,23
2022-03-28,54
2022-03-29,65
2022-03-30,76
2022-03-31,59
2022-04-01,66
2022-04-02,49
2022-04-03,3
2022-04-04,1
2022-04-05,40
2022-04-06,52
2022-04-07,54
2022-04-08,58
2022-04-09,18
2022-04-11,56
2022-04-12,62
2022-04-13,54
2022-04-14,55
2022-04-15,68
2022-04-16,25
2022-04-18,48
2022-04-19,78
2022-04-20,58
2022-04-21,87
2022-04-22,60
2022-04-23,4
2022-04-24,50
2022-04-25,53
2022-04-26,78
2022-04-27,68
2022-04-28,75
2022-04-29,75
2022-04-30,2
2022-05-01,23
2022-05-02,2
2022-05-03,32
2022-05-04,2
2022-05-05,67
2022-05-06,73
2022-05-07,69
2022-05-08,3
2022-05-09,63
2022-05-10,47
2022-05-11,63
2022-05-12,66
2022-05-13,63
2022-05-14,25
2022-05-15,4
2022-05-16,79
2022-05-17,71
2022-05-18,68
2022-05-19,85
2022-05-20,76
2022-05-21,25
2022-05-22,2
2022-05-23,55
2022-05-24,76
2022-05-25,65
2022-05-26,77
2022-05-27,87
2022-05-28,20
2022-05-29,4
2022-05-30,52
2022-05-31,79
2022-06-01,65
2022-06-02,80
2022-06-03,18
2022-06-04,20
2022-06-05,2
2022-06-06,59
2022-06-07,87
2022-06-08,67
2022-06-09,78
2022-06-10,80
2022-06-11,18
2022-06-12,3
2022-06-13,53
2022-06-14,92
2022-06-15,76
2022-06-16,92
2022-06-17,108
2022-06-18,21
2022-06-19,5
2022-06-20,68
2022-06-21,94
2022-06-22,58
2022-06-23,72
2022-06-24,94
2022-06-25,19
2022-06-26,4
2022-06-27,72
2022-06-28,83
2022-06-29,80
2022-06-30,96
2022-07-01,93
2022-07-02,28
2022-07-03,6
2022-07-04,57
2022-07-05,75
2022-07-06,64
2022-07-07,84
2022-07-08,55
